"id","trust","check","condition","region","insecure","need","depend","purchases_market","age","wives_cowives","num_children","literate","education","sell_milk_meat","sell_handcrafts","wage_labor","farming","sell_crops","own_business","teaching","hh_size","hh_labor","urban_travel","engai_christian_same","god_mind","god_body","god_omnipotent","god_omniscient","god_omnibenevolent","god_punish","god_reward","rituals_frequency","prayer_frequency","disagree_god_frequency","maasai_all_cattle","polygyny","moran_eating","cattle_raid","educate_children","educate_women","cattle_over_cash","belief_god_important","children_share_religious","others_share_religious","farming_good","female_circumcision","maasai_worry_future","god_comfort_safety","donkeys","chickens","cattle","goats","sheep","roof","solar","wealth","TLU","MI","pc1"
11,0.5,0,0,0,1.62322987166052,-0.320074584201009,-0.462663810470107,0.747799729658283,1.55577804347319,-0.657134578556522,-0.667899931182759,-0.553868238699235,-0.543920082920068,-0.344778632082909,-0.404446227720985,-0.383798889135426,0.470994425436512,1.14102011853324,-0.428242703225049,-0.19157898882856,-0.489838693583058,-0.288235844866633,-0.710970667395086,0.598425859395001,-0.195366998520109,0.310985050004735,0.366335142526423,0.439350639938584,0.401534845940876,0.97714399677625,0.821475270117564,1.42771896405962,1.21997390805555,0.489493289140142,-1.37211403826517,-1.74172256630483,-0.391681584861278,-0.67110809754479,0.924642859287258,1.05719061271573,-1.58216648979999,1.09830747372025,1.05959588738581,1.23632796087861,1.10656630523177,-1.06993730137315,0.568785625180513,0.989035497072923,-0.346309350016427,-0.278030112021818,-0.0719035528918767,0.187427207064911,-0.344993681796845,-0.420974243338464,-0.574358974358974,-0.829095962571352,-0.101647521050854,0.694236703141575,-1.32678824377555
12,1,0,0,0,1.62322987166052,-0.320074584201009,-0.462663810470107,2.1046944004092,-0.265110159874355,-0.657134578556522,-0.667899931182759,1.79745918974092,-0.543920082920068,-0.344778632082909,-0.404446227720985,-0.383798889135426,0.470994425436512,1.14102011853324,-0.428242703225049,-0.19157898882856,-0.489838693583058,-0.288235844866633,0.213702165922222,0.598425859395001,-0.195366998520109,0.310985050004735,0.366335142526423,0.439350639938584,-2.8250844517983,0.97714399677625,0.821475270117564,2.1678958463486,1.21997390805555,3.36260607322358,-1.37211403826517,-1.74172256630483,-0.391681584861278,-0.67110809754479,0.924642859287258,1.05719061271573,-1.58216648979999,1.09830747372025,1.05959588738581,1.23632796087861,0.0470879278822029,-1.06993730137315,0.568785625180513,-0.152159307241988,-0.518317305322599,-0.278030112021818,-0.216850411753861,0.320179950788746,-0.280388123407923,-0.420974243338464,-0.574358974358974,-0.829095962571352,-0.221788931190891,1.49323035125847,-1.85694621022586
13,0,1,0,0,1.62322987166052,0.228868677783825,-0.799762731745548,-0.609094941092634,2.05809203060355,-0.657134578556522,0.226608905222722,-0.553868238699235,-0.543920082920068,-0.344778632082909,2.48445539885748,-0.383798889135426,0.470994425436512,1.14102011853324,-0.428242703225049,-0.19157898882856,-0.30311492220451,-0.288235844866633,-0.710970667395086,0.598425859395001,-1.41641073927079,0.310985050004735,0.366335142526423,0.439350639938584,0.401534845940876,0.97714399677625,0.821475270117564,1.42771896405962,1.21997390805555,-0.468210972221005,-1.37211403826517,-1.74172256630483,1.27111759615358,-0.67110809754479,0.924642859287258,0.0577457057365734,0.271934865434373,1.09830747372025,1.05959588738581,1.23632796087861,1.10656630523177,-1.06993730137315,1.45138400908131,0.989035497072923,-0.432313327669513,-0.0131834769459964,-0.361797270615845,-0.417335292121449,-0.393447850588536,2.36488471993078,1.73333333333333,0.155318768713895,-0.416336101019928,0.694236703141575,-1.47806630964913
14,0,1,0,0,1.62322987166052,0.411849765112102,-0.799762731745548,-0.609094941092634,2.37203827256002,3.94735511548139,-0.0715607069124385,-0.553868238699235,1.39865164179446,-0.344778632082909,2.48445539885748,-0.383798889135426,0.470994425436512,1.14102011853324,-0.428242703225049,-0.19157898882856,0.0703326205525866,-0.17221962823874,-0.710970667395086,0.598425859395001,-0.195366998520109,0.310985050004735,0.366335142526423,0.439350639938584,0.401534845940876,-1.9348745366629,0.821475270117564,1.42771896405962,1.21997390805555,-0.468210972221005,-1.37211403826517,0.160644314367921,-0.391681584861278,-1.45756289935509,0.924642859287258,0.0577457057365734,0.271934865434373,1.09830747372025,1.05959588738581,1.23632796087861,0.0470879278822029,-1.06993730137315,0.568785625180513,0.989035497072923,-0.346309350016427,-0.172091457991489,-0.361797270615845,-0.461586206696061,-0.409599240185767,-0.420974243338464,-0.574358974358974,3.60077032821226,-0.415380430711996,0.694236703141575,-0.903567115065418
15,0,1,0,0,1.62322987166052,-0.320074584201009,-0.799762731745548,0.747799729658283,-0.767424147004713,-0.657134578556522,-0.667899931182759,-0.553868238699235,-0.543920082920068,-0.344778632082909,-0.404446227720985,2.59395111277736,0.470994425436512,1.14102011853324,-0.428242703225049,-0.19157898882856,-0.30311492220451,-0.17221962823874,1.13837499923953,-0.748032324243752,1.02567674223057,0.310985050004735,0.366335142526423,0.439350639938584,-2.8250844517983,0.97714399677625,0.821475270117564,-0.0526348005183271,0.596123614163508,-0.468210972221005,-1.37211403826517,-1.74172256630483,-0.391681584861278,-0.67110809754479,0.924642859287258,0.0577457057365734,-0.655115812182807,1.09830747372025,0.0536504246777623,0.209856406643602,1.10656630523177,-0.280639292163449,-1.19641114262108,0.989035497072923,-0.432313327669513,-0.278030112021818,-0.372947028989844,-0.34358376783043,-0.377296460991306,-0.420974243338464,-0.574358974358974,-0.829095962571352,-0.418383965965497,0.694236703141575,-1.07854463160606
16,0,1,0,0,0.478318520175828,-0.457310399697218,-0.799762731745548,0.747799729658283,-0.767424147004713,-0.657134578556522,-0.816984737250339,-0.553868238699235,-0.543920082920068,-0.344778632082909,-0.404446227720985,-0.383798889135426,0.470994425436512,1.14102011853324,2.32474610322169,-0.19157898882856,-0.209753036515236,-0.0562034116108462,1.13837499923953,0.598425859395001,-0.195366998520109,0.310985050004735,0.366335142526423,0.439350639938584,0.401534845940876,0.97714399677625,0.821475270117564,1.42771896405962,0.596123614163508,1.44719755050129,-1.37211403826517,0.160644314367921,-0.391681584861278,-0.67110809754479,0.924642859287258,-1.94114410822174,-1.58216648979999,1.09830747372025,0.0536504246777623,1.23632796087861,1.10656630523177,-1.06993730137315,-1.19641114262108,0.989035497072923,-0.346309350016427,-0.278030112021818,-0.384096787363843,-0.196080719248391,-0.409599240185767,-0.420974243338464,-0.574358974358974,-0.829095962571352,-0.410192506183222,0.694236703141575,-1.17311905844175
17,1,0,0,0,-0.666592831308867,0.411849765112102,-0.799762731745548,0.747799729658283,-0.139531663091766,-0.145524612552309,0.226608905222722,1.79745918974092,1.39865164179446,-0.344778632082909,-0.404446227720985,-0.383798889135426,0.470994425436512,1.14102011853324,2.32474610322169,-0.19157898882856,0.0703326205525866,-0.17221962823874,1.13837499923953,0.598425859395001,-0.195366998520109,0.310985050004735,0.366335142526423,0.439350639938584,0.401534845940876,0.97714399677625,0.821475270117564,1.42771896405962,0.596123614163508,0.489493289140142,-1.37211403826517,0.160644314367921,-0.391681584861278,-0.67110809754479,0.924642859287258,0.0577457057365734,-1.58216648979999,1.09830747372025,0.0536504246777623,0.209856406643602,0.0470879278822029,-1.06993730137315,0.568785625180513,0.989035497072923,-0.260305372363341,0.0397858500691678,-0.272599203623855,-0.34358376783043,-0.280388123407923,2.36488471993078,1.73333333333333,0.647526134356518,-0.309710599520645,0.694236703141575,-1.48722699179623
18,0,1,0,0,-2.24084593960032,2.42464172572316,-0.799762731745548,0.747799729658283,-0.0767424147004712,-0.145524612552309,0.524778517357882,1.79745918974092,1.39865164179446,2.88752104369436,-0.404446227720985,-0.383798889135426,0.470994425436512,1.14102011853324,-0.428242703225049,-0.19157898882856,0.443780163309683,-0.288235844866633,1.13837499923953,0.598425859395001,-1.41641073927079,-1.00923450190216,0.366335142526423,0.439350639938584,-2.8250844517983,-0.478865269943328,0.821475270117564,-0.0526348005183271,0.596123614163508,1.44719755050129,0.148702013999181,0.160644314367921,-0.391681584861278,-0.67110809754479,0.924642859287258,1.05719061271573,1.19898554305155,1.09830747372025,-1.95824050073832,0.209856406643602,-2.07186882681693,-1.06993730137315,-1.19641114262108,0.989035497072923,-0.0882974170571684,0.0397858500691678,-0.339497753867848,-0.402584987263245,-0.393447850588536,2.36488471993078,1.73333333333333,0.647526134356518,-0.368416061293618,1.49323035125847,-1.16653616453925
19,0,1,0,0,-2.24084593960032,0.228868677783825,-0.799762731745548,0.747799729658283,-0.767424147004713,-0.145524612552309,-0.369730319047599,-0.553868238699235,-0.543920082920068,-0.344778632082909,2.48445539885748,-0.383798889135426,0.470994425436512,1.14102011853324,-0.428242703225049,-0.19157898882856,-0.30311492220451,-0.288235844866633,-0.710970667395086,-2.0944905078825,-0.195366998520109,-1.00923450190216,0.366335142526423,0.439350639938584,0.401534845940876,0.97714399677625,0.821475270117564,1.42771896405962,1.21997390805555,-0.468210972221005,-1.37211403826517,0.160644314367921,-0.391681584861278,-0.67110809754479,0.924642859287258,0.0577457057365734,-1.58216648979999,-0.0510840685451281,0.0536504246777623,0.209856406643602,0.0470879278822029,-1.06993730137315,1.45138400908131,0.989035497072923,-0.346309350016427,-0.172091457991489,-0.361797270615845,-0.446835901837857,-0.425750629782998,2.36488471993078,1.73333333333333,0.647526134356518,-0.415380430711996,1.49323035125847,-1.23431105098518
20,0,1,0,0,-2.24084593960032,2.973584987708,-0.799762731745548,0.747799729658283,-0.767424147004713,0.877695319456115,0.0775240991551416,-0.553868238699235,-0.543920082920068,-0.344778632082909,2.48445539885748,-0.383798889135426,0.470994425436512,1.14102011853324,-0.428242703225049,-0.19157898882856,-0.116391150825962,-0.404252061494527,-0.710970667395086,-2.0944905078825,-0.195366998520109,-1.00923450190216,0.366335142526423,0.439350639938584,0.401534845940876,0.97714399677625,0.821475270117564,1.42771896405962,1.21997390805555,-0.468210972221005,-1.37211403826517,0.160644314367921,-0.391681584861278,-0.67110809754479,0.924642859287258,0.0577457057365734,-1.58216648979999,-0.0510840685451281,0.0536504246777623,0.209856406643602,0.0470879278822029,-1.06993730137315,1.45138400908131,0.989035497072923,-0.432313327669513,-0.172091457991489,-0.361797270615845,-0.461586206696061,-0.409599240185767,2.36488471993078,1.73333333333333,1.63194086564176,-0.422206647197225,1.49323035125847,-1.28087312070009
