"id","trust","check","condition","region","insecure","need","depend","purchases_market","age","wives_cowives","num_children","literate","education","sell_milk_meat","sell_handcrafts","wage_labor","farming","sell_crops","own_business","teaching","hh_size","hh_labor","urban_travel","engai_christian_same","god_mind","god_body","god_omnipotent","god_omniscient","god_omnibenevolent","god_punish","god_reward","rituals_frequency","prayer_frequency","disagree_god_frequency","maasai_all_cattle","polygyny","moran_eating","cattle_raid","educate_children","educate_women","cattle_over_cash","belief_god_important","children_share_religious","others_share_religious","farming_good","female_circumcision","maasai_worry_future","god_comfort_safety","donkeys","chickens","cattle","goats","sheep","roof","solar","wealth","TLU","MI"
45,0.5,1,0,0,1,3,0.333333333333333,4,54,1,4,0,1,0,0,0,1,1,0,0,6,2,1,1,1,-1,1,1,1,-1,1,5,5,2,-1,-1,-1,-1,1,1,-1,1,1,1,2,1,1,1,1,3,10,7,6,0,0,1,8.83,0.694236703141574
46,0,1,1,0,1,5,0.25,4,37,1,1,0,2,0,0,1,1,1,0,0,10,2,2,1,1,-1,1,1,1,-1,1,1,4,2,-1,-1,-1,-1,1,1,-1,2,1,1,1,-1,1,1,4,1,10,50,40,1,1,3,18.01,0.694236703141574
47,1,1,0,0,0.8,5,0.166666666666667,4,37,1,2,1,3,1,0,1,1,1,0,1,5,1,3,1,1,-1,1,1,1,1,1,4,4,3,2,-1,-1,-1,2,2,1,2,2,2,2,-2,1,2,2,0,15,21,37,1,1,3,17.3,1.49323035125847
48,0.5,1,0,0,1.6,2,0.2,3,43,2,8,0,1,1,1,0,1,1,0,0,4,2,2,1,1,1,1,1,1,-1,1,4,4,3,1,1,-1,-1,2,1,0,2,1,2,2,1,1,1,5,10,5,10,10,1,1,4,8.1,1.49323035125847
49,1,0,1,0,1.6,4.33333333333333,0.333333333333333,4,46,2,10,1,2,0,0,0,1,1,0,0,13,3,1,1,-1,1,1,1,1,1,1,1,1,2,2,2,-1,1,2,1,-1,1,-1,-1,1,-1,1,2,4,5,40,5,30,1,1,4,33.55,0.694236703141574
50,1,0,1,0,1.6,3.75,0.333333333333333,4,59,3,11,0,2,0,0,0,1,1,0,0,15,4,1,1,0,1,1,1,1,1,1,1,4,2,2,2,-1,0,2,1,1,1,-1,-1,2,-1,1,2,2,0,10,4,3,0,1,4,8.7,0.694236703141574
51,1,0,0,0,1.6,2,0.25,4,70,1,10,0,1,1,0,0,1,1,0,0,4,2,1,1,1,1,1,1,1,1,1,2,4,1,1,2,0,-1,2,1,2,1,-1,-1,2,1,-1,2,5,10,5,10,10,1,1,3,8.1,1.49323035125847
52,1,0,0,0,1.6,1.33333333333333,0.333333333333333,4,45,1,4,1,2,0,0,0,1,1,0,0,8,6,1,1,1,1,1,1,1,-1,1,5,4,4,2,-1,1,-1,1,1,1,1,0,1,1,-1,-1,1,2,0,7,5,5,1,1,3,6.9,0.694236703141574
53,0.5,1,0,0,1.6,1.25,0.333333333333333,4,34,1,2,1,2,0,0,0,1,1,0,0,2.5,2,2,1,1,1,1,1,1,-1,1,4,4,5,1,-2,1,-2,1,1,2,1,0,1,1,-1,-1,1,1,20,5,5,10,0,0,1,5.7,0.694236703141574
54,1,NA,1,0,1.4,4,0.25,4,52,1,8,1,2,0,0,0,1,1,1,0,12,3,1,1,1,0,1,1,1,1,1,4,4,2,2,1,-1,1,2,2,1,2,2,2,2,-1,1,1,8,10,20,50,60,1,1,3,29.1,0.694236703141574
55,1,NA,0,0,1,3.5,0.25,4,40,1,4,1,2,1,0,0,1,1,0,0,7,2,2,-1,0,0,0,-1,1,-1,1,5,4,1,1,1,-1,-1,1,1,1,1,1,1,1,-1,1,1,8,20,50,70,0,0,1,2,46.2,1.49323035125847
56,0,1,1,0,0.6,7,0.25,4,30,2,4,0,1,0,1,0,1,1,0,0,14,2,1,1,1,1,1,1,1,1,1,2,4,1,1,1,-1,-1,1,1,2,1,2,2,1,-1,1,1,7,6,10,20,5,1,1,4,13.06,1.49323035125847
57,0.5,1,0,0,1.25,1.66666666666667,0.25,4,32,2,9,1,2,1,1,0,1,0,0,0,25,15,2,-1,1,-1,1,1,-1,1,1,4,4,3,2,1,-1,1,2,1,1,2,2,1,2,1,2,1,3,0,30,50,10,1,0,3,28.5,1.49323035125847
58,1,1,0,0,1.2,3.66666666666667,0.2,2,48,4,4,1,2,0,1,0,1,1,0,0,11,3,1,-1,1,-1,1,1,1,1,1,4,4,2,-1,-1,-1,1,1,2,-1,2,2,2,2,-2,-2,2,5,2,5,32,10,1,1,6,10.22,-0.104756944975327
59,1,1,1,0,0.25,2.5,0.2,4,27,2,3,0,1,1,1,0,1,1,0,0,5,2,3,1,-1,1,1,1,1,1,1,1,4,4,-2,1,-1,-1,2,1,2,1,2,2,2,-1,-1,1,5,3,10,20,20,0,0,2,13.53,2.29222399937538
60,0.5,1,0,0,0.5,5.33333333333333,0.142857142857143,3,37,1,3,1,3,1,1,1,0,1,1,1,16,3,4,1,1,0,1,1,1,1,1,2,4,1,1,2,-1,2,2,2,2,1,-1,-1,2,-1,2,1,10,36,2,1,3,1,0,2,7.16,1.49323035125847
61,0.5,1,1,0,1.2,2.5,0.25,4,32,1,3,0,1,0,1,0,1,1,0,0,5,2,1,1,1,0,1,1,1,0,0,1,4,1,-1,-1,-1,-1,1,2,0,1,2,1,1,0,-1,1,1,3,8,19,3,0,0,1,8.33,1.49323035125847
62,1,1,0,0,1.2,2.66666666666667,0.333333333333333,4,37,1,4,0,1,0,0,0,1,1,0,0,8,3,2,1,1,-1,1,1,-1,1,1,4,5,3,-1,1,-1,-1,1,1,0,1,1,1,1,-1,1,2,1,0,11,9,17,1,1,3,10.8,0.694236703141574
63,1,0,0,0,0,2.66666666666667,0.333333333333333,4,34,1,2,0,1,0,0,0,1,1,0,0,8,3,1,1,1,1,1,1,0,0,0,1,4,1,-1,1,-1,-2,1,1,1,1,1,1,1,1,-1,1,2,10,30,18,10,0,0,1,24.9,0.694236703141574
